15.97,23.03
20.44,23.03
15.97,23.03
38,41.3
38,41.3
38,41.3
38,41.3
15.97,20.44
15.97,20.44
15.97,20.44
23.03,28.1
23.03,28.1
23.03,28.1
15.97,28.1
25.2,27.3
25.2,27.3
25.2,27.3
25.2,27.3
4.9,10.3
6.8,9
13.82,15.97
13.82,15.97
13.82,15.97
11.62,15.97
13.82,15.97
33.9,37.2
0,11.608
0,11.608
0,11.608
0,11.608
0,11.608
0.781,3.6
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
3.6,7.246
5.333,7.246
2.588,23.03
2.588,3.6
2.588,3.6
2.588,3.6
33.9,38
33.9,38
33.9,38
33.9,38
28.1,33.9
28.1,33.9
11.608,12.7
11.608,12.7
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
7.246,13.82
5.333,11.62
7.246,11.62
7.246,11.62
7.246,11.62
5.333,11.62
7.246,11.62
7.246,11.62
3.6,5.333
3.6,5.333
3.6,5.333
33.9,56
33.9,38
13.82,15.97
2.588,3.6
0.0117,15.97
0.0117,15.97
0.781,1.806
15.97,23.03
5.333,23.03
5.333,23.03
2.588,23.03
0.0117,2.588
0.0117,2.588
0.0117,5.333
33.9,38
33.9,38
23.03,28.1
23.03,28.1
7.246,11.62
0.781,1.806
0.0117,2.588
2.588,15.97
2.588,5.333
3.6,5.333
12.7,13.65
13.82,20.44
33.9,56
38,47.8
5.333,15.97
0.0117,2.588
0.0117,2.588
0.0117,2.588
0.0117,2.588
33.9,38
11.608,12.7
11.608,12.7
11.608,12.7
11.608,12.7
11.608,12.7
11.608,12.7
11.608,12.7
11.62,13.82
11.62,13.82
11.62,13.82
7.246,11.62
13.82,20.44
3.6,7.246
3.6,7.246
3.6,7.246
3.6,7.246
3.6,7.246
5.333,23.03
0.0117,5.333
7.246,11.62
7.246,11.62
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
7.246,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
23.03,28.1
23.03,28.1
15.97,28.1
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
7.246,15.97
7.246,15.97
11.608,15.97
11.608,15.97
11.608,15.97
5.333,23.03
5.333,23.03
5.333,23.03
5.333,23.03
5.333,23.03
5.333,23.03
5.333,23.03
13.65,20
2.588,23.03
2.588,23.03
2.588,23.03
2.588,23.03
0.0117,2.588
2.588,5.333
2.588,5.333
11.608,12.7
11.608,12.7
7.246,13.82
7.246,13.82
20.44,23.03
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
5.333,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
13.82,15.97
5.333,11.608
5.333,11.608
2.588,23.03
5.333,23.03
2.588,3.6
1.806,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,3.6
1.806,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,3.6
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
3.2,5.333
11.608,12.7
11.608,12.7
7.246,11.62
7.246,11.62
2.588,3.2
3.6,5.333
2.588,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
12.7,13.65
13.82,15.97
5.333,11.608
5.333,11.608
5.333,11.608
5.333,11.608
5.333,11.608
5.333,23.03
11.1,13.65
11.1,13.65
11.1,12.75
11.608,12.7
11.608,12.7
11.608,12.7
11.62,13.82
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
11.62,20.44
0.781,1.806
0.781,1.806
0.781,2.588
0.781,2.588
0.781,2.588
0.781,2.588
13.82,15.97
13.82,15.97
5.333,11.608
2.588,11.608
2.588,11.608
2.588,11.608
2.588,11.608
5.333,11.608
2.588,11.608
2.588,11.608
2.588,11.608
2.588,11.608
2.588,11.608
2.588,11.608
5.333,11.608
2.588,11.608
5.333,11.608
2.588,11.608
2.588,11.608
2.588,11.608
2.588,11.608
2.588,11.608
2.588,11.608
2.588,11.608
2.588,11.608
0.781,15.97
5.333,15.97
0.781,15.97
0.781,15.97
11.608,15.97
0.781,15.97
0.781,15.97
0.781,15.97
0.781,15.97
11.608,15.97
0.781,15.97
2.588,23.03
5.333,23.03
5.333,23.03
5.333,23.03
5.333,23.03
5.333,23.03
5.333,23.03
5.333,23.03
2.588,23.03
2.588,23.03
2.588,23.03
0.0117,2.588
0.0117,2.588
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
7.246,11.62
7.246,11.62
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
23.03,28.1
23.03,28.1
23.03,28.1
23.03,28.1
23.03,28.1
23.03,28.1
0.781,2.588
2.588,5.333
2.588,5.333
11.62,13.82
11.62,13.82
11.62,13.82
41.3,47.8
0.0117,2.588
11.62,13.82
7.246,11.62
11.62,13.82
15.97,20.44
23.03,28.1
11.608,23.03
3.6,5.333
3.6,5.333
5.333,11.608
23.03,28.4
2.588,3.6
0.0117,2.588
2.588,15.97
2.588,15.97
5.333,15.97
2.588,15.97
5.333,15.97
2.588,15.97
2.588,15.97
2.588,15.97
2.588,15.97
2.588,15.97
5.333,11.62
41.3,47.8
33.9,41.3
33.9,38
21.7,25.2
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,23.03
13.82,15.97
5.333,11.608
0,11.608
5.333,11.608
11.608,15.97
11.608,15.97
5.333,23.03
5.333,23.03
2.588,23.03
2.588,23.03
2.588,23.03
2.588,23.03
2.588,23.03
7.246,11.62
25.2,27.3
15.97,20.44
5.333,7.246
5.333,7.246
5.333,7.246
5.333,7.246
5.333,7.246
5.333,7.246
28.1,33.9
28.1,33.9
38,41.3
20.44,23.03
3.6,5.333
0.781,2.588
38,41.3
38,41.3
38,41.3
38,41.3
28.1,33.9
28.1,33.9
28.1,33.9
28.1,33.9
28.1,33.9
28.1,33.9
15.97,20.44
15.97,20.44
13.82,20.44
5.333,11.62
38,41.3
38,41.3
23.03,28.4
11.62,15.97
11.62,15.97
11.62,15.97
11.62,15.97
11.62,15.97
11.62,15.97
11.62,15.97
11.62,15.97
11.62,15.97
13.82,20.44
11.62,15.97
11.62,15.97
11.62,15.97
11.62,15.97
11.62,15.97
13.82,20.44
11.62,15.97
13.82,15.97
13.82,15.97
33.9,38
33.9,38
33.9,38
33.9,38
7.246,11.62
7.246,13.82
7.246,11.62
7.246,11.62
3.6,11.62
7.246,11.62
15.97,20.44
0.781,2.588
13.82,15.97
15.97,20.44
13.82,15.97
13.82,15.97
15.97,20.44
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
5.333,23.03
13.82,15.97
13.82,15.97
13.82,15.97
20.44,23.03
15.97,20.44
15.97,20.44
13.82,15.97
13.82,15.97
13.82,15.97
5.333,11.608
15.97,20.44
15.97,20.44
38,41.3
37.2,48.6
38,41.3
15.9,19
5.333,7.246
7.246,11.62
23.03,28.1
11.608,12.7
7.246,11.62
7.246,11.62
15.97,20.44
15.97,20.44
15.97,20.44
15.97,23.03
20.44,23.03
15.97,20.44
15.97,23.03
3.6,5.333
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
13.82,15.97
11.62,13.82
11.62,13.82
4.9,10.3
33.9,38
5.333,11.608
38,41.3
38,41.3
3.6,5.333
3.6,5.333
0.781,2.588
0.126,0.781
0.781,2.588
0.126,0.781
33.9,38
2.588,3.6
33.9,38
33.9,38
33.9,38
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
23.03,28.1
23.03,28.1
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
23.03,28.1
7.246,11.62
38,41.3
38,41.3
38,41.3
23.03,28.1
23.03,28.1
3.6,5.333
3.6,5.333
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
0.126,0.781
0.781,2.588
0.126,0.781
0.126,0.781
0.781,2.588
5.333,11.608
15.97,23.03
15.97,20.44
15.97,20.44
15.97,20.44
15.97,20.44
15.97,23.03
15.97,20.44
15.97,23.03
15.97,23.03
15.97,23.03
38,41.3
13.82,15.97
33.9,38
33.9,38
33.9,38
33.9,38
33.9,38
33.9,38
38,41.3
11.62,13.82
11.62,13.82
11.62,13.82
13.82,28.1
5.333,7.246
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
5.333,28.4
0.781,1.806
0.781,1.806
0.781,1.806
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
7.246,11.62
7.246,11.62
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
3.6,5.333
5.333,7.246
3.6,5.333
15.97,20.44
15.97,20.44
13.82,15.97
23.03,28.1
23.03,28.1
3.6,5.333
23.03,28.1
23.03,28.1
23.03,28.1
23.03,28.1
23.03,28.1
23.03,28.1
13.82,15.97
23.03,28.1
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
33.9,38
38,41.3
0.126,0.781
15.97,20.44
15.97,20.44
15.97,20.44
5.333,7.246
5.333,7.246
41.3,47.8
25.2,27.3
25.2,27.3
27.3,34.3
25.2,27.3
25.2,27.3
25.2,27.3
25.2,27.3
0.781,2.588
11.608,12.7
11.62,13.82
5.333,7.246
11.608,15.97
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
41.3,47.8
11.62,13.82
33.9,38
13.65,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
20.44,23.03
2.588,3.6
2.588,3.6
23.03,28.1
23.03,28.1
23.03,28.1
23.03,28.1
23.03,28.1
23.03,28.1
41.3,47.8
0.781,3.6
28.1,33.9
11.608,15.97
23.03,28.1
20.44,23.03
41.3,47.8
23.03,28.1
23.03,28.1
5.333,11.608
7.246,11.62
15.97,16.9
41.3,47.8
15.97,20.44
15.97,20.44
33.9,38
13.82,20.44
2.588,3.6
15.97,23.03
15.97,23.03
13.82,15.97
10.3,13.6
11.62,13.82
7.246,11.62
4.9,10.3
23.03,28.1
23.03,28.1
23.03,28.1
15.9,19
3.6,5.333
13.82,20.44
0.781,2.588
2.588,3.6
1.806,2.588
15.97,23.03
33.9,38
33.9,38
33.9,38
11.608,15.97
0.781,2.588
25.2,27.3
23.03,28.4
25.2,27.3
25.2,27.3
23.03,28.4
23.03,28.4
25.2,27.3
33.9,38
0.781,1.806
0.781,1.806
41.3,47.8
41.3,47.8
38,41.3
41.3,47.8
38,41.3
11.62,13.82
33.9,38
15.97,20.44
3.6,5.333
3.6,5.333
11.62,13.82
11.62,13.82
7.246,11.62
5.333,20.44
5.333,20.44
5.333,20.44
5.333,20.44
5.333,20.44
5.333,20.44
5.333,20.44
5.333,20.44
5.333,20.44
5.333,20.44
5.333,20.44
7.246,11.62
13.82,15.97
38,41.3
5.333,7.246
11.62,13.82
5.333,7.246
11.62,13.82
7.246,11.62
7.246,11.62
5.333,7.246
5.333,7.246
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
5.333,7.246
5.333,7.246
5.333,7.246
5.333,7.246
7.246,11.62
5.333,7.246
7.246,11.62
5.333,7.246
2.588,3.6
0.0117,2.588
23.03,28.1
7.246,11.62
13.82,23.03
13.82,23.03
13.82,23.03
13.82,23.03
13.82,23.03
13.82,23.03
13.82,23.03
13.82,23.03
13.82,23.03
2.588,3.6
5.333,7.246
3.6,5.333
23.03,28.1
33.9,38
33.9,38
33.9,38
33.9,38
1.806,2.588
1.806,2.588
1.806,2.588
1.806,2.588
1.806,2.588
1.806,2.588
1.806,2.588
1.806,2.588
1.806,2.588
1.806,2.588
1.806,2.588
1.806,2.588
1.806,2.588
1.806,2.588
1.806,2.588
2.588,3.6
1.806,2.588
1.806,2.588
1.806,2.588
0.781,1.806
0.781,2.588
3.6,5.333
13.82,15.97
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
2.588,5.333
3.6,5.333
3.6,5.333
11.608,15.97
5.333,11.62
5.333,11.62
5.333,11.62
11.608,15.97
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
11.62,13.82
33.9,38
33.9,38
38,41.3
2.588,3.6
2.588,3.6
2.588,3.6
3.6,5.333
13.82,15.97
7.246,11.62
0.781,1.806
0.781,1.806
0.781,2.588
23.03,28.1
15.97,20.44
7.246,11.62
7.246,11.62
23.03,28.1
3.6,5.333
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
7.246,11.62
47.8,56
47.8,56
11.608,15.97
3,3.6
3.6,5.333
3.6,5.333
13.82,15.97
15.97,20.44
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
13.82,15.97
11.62,13.82
13.82,15.97
13.82,15.97
5.333,7.246
15.97,23.03
0.781,2.588
5.333,11.608
20.44,23.03
15.97,20.44
3.6,5.333
23.03,28.1
11.608,12.7
33.9,38
23.03,28.1
23.03,28.1
33.9,38
33.9,38
33.9,38
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
2.588,5.333
2.588,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
3.6,5.333
11.608,15.97
33.9,38
